STT,Stock Code,Organization Name,First Trading Date,Listing Volume,Stock Volume
343,HTE,CTCP Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh,24/7/2017,23.608.165,21.638.165
344,HTG,Tổng công ty cổ phần Dệt may Hòa Thọ,14/6/2017,30.003.075,36.002.708
345,HTM,Tổng công ty Thương mại Hà Nội - CTCP,4/5/2018,220.000.000,219.958.600
346,HTR,CTCP Đường sắt Hà Thái,22/2/2017,1.500.700,1.500.700
347,HTT,CTCP Thương mại Hà Tây,26/6/2020,20.000.000,20.000.000
348,HTW,CTCP Cấp nước Hà Tĩnh,14/12/2016,20.400.893,20.400.893
349,HU3,CTCP Đầu tư và Xây dựng HUD3,18/5/2023,9.999.944,9.999.944
350,HU4,Công ty cổ phần Đầu tư và Xây dựng HUD4,29/1/2016,15.000.000,15.000.000
351,HU6,CTCP Đầu tư Phát triển nhà và đô thị HUD6,19/11/2015,7.500.000,7.500.000
352,HUG,Tổng công ty May Hưng Yên - CTCP,18/12/2017,19.511.389,19.511.389
353,HVA,CTCP Đầu tư HVA,17/3/2020,13.650.000,13.650.000
354,HVG,CTCP Hùng Vương,13/8/2020,227.038.291,227.038.291
355,HWS,CTCP Cấp nước Thừa Thiên Huế,27/7/2018,87.600.000,87.383.000
356,IBD,CTCP In Tổng hợp Bình Dương,24/5/2019,9.000.000,9.000.000
357,ICC,CTCP Xây dựng Công Nghiệp,1/6/2016,3.800.000,3.800.000
358,ICF,CTCP Đầu tư Thương mại Thủy Sản,20/5/2019,12.807.000,12.807.000
359,ICI,CTCP Đầu tư và Xây dựng công nghiệp,6/7/2010,4.000.000,4.000.000
360,ICN,CTCP Đầu tư Xây dựng Dầu khí IDICO,12/6/2015,11.999.985,11.999.985
361,IDP,CTCP Sữa Quốc Tế,7/1/2021,58.945.472,58.945.472
362,IFS,CTCP Thực phẩm Quốc tế,16/11/2016,87.140.984,87.140.984
363,IHK,CTCP In Hàng không,4/3/2010,2.141.928,2.141.928
364,ILA,CTCP ILA,28/11/2017,18.529.939,18.529.939
365,ILC,CTCP Hợp tác lao động với nước ngoài,10/8/2018,6.100.391,6.079.071
366,ILS,CTCP Đầu tư Thương mại và Dịch vụ Quốc tế,19/3/2018,36.000.000,36.000.000
367,IME,CTCP Cơ khí và Xây lắp Công nghiệp,1/12/2009,3.599.948,3.599.948
368,IN4,CTCP In số 4,19/5/2010,1.200.000,1.200.000
369,IRC,CTCP Cao su Công nghiệp,22/1/2018,17.500.000,17.500.000
370,ISG,CTCP Vận tải biển và Hợp tác lao động Quốc tế,22/9/2015,8.800.000,8.800.000
371,ISH,CTCP Thủy điện Srok Phu Miêng IDICO,29/6/2015,45.000.000,45.000.000
372,IST,CTCP ICD Tân Cảng Sóng Thần,5/1/2017,12.008.672,12.008.672
373,ITS,"CTCP Đầu tư, Thương mại và Dịch vụ - Vinacomin",18/12/2015,26.459.924,26.459.924
374,JOS,CTCP Chế biến Thủy sản Xuất khẩu Minh Hải,28/7/2017,15.322.723,15.043.161
375,KAC,CTCP Đầu tư Địa ốc Khang An,16/9/2019,23.999.999,23.999.999
376,KCB,CTCP Khoáng sản và Luyện Kim Cao Bằng,1/12/2015,8.000.000,8.000.000
377,KCE,CTCP Bê tông ly tâm Điện lực Khánh Hòa,8/2/2011,1.500.000,1.500.000
378,KGM,CTCP Xuất nhập khẩu Kiên Giang,21/9/2017,25.430.000,25.430.000
379,KHD,"CTCP Khai thác, Chế biến khoáng sản Hải Dương",22/12/2016,3.262.818,3.262.818
380,KHL,CTCP Khoáng sản và Vật liệu Xây dựng Hưng Long,8/6/2018,12.000.000,12.000.000
381,KHW,CTCP Cấp thoát nước Khánh Hòa,20/2/2017,28.599.996,28.599.996
382,KIP,Công ty Cổ phần K.I.P Việt Nam,12/4/2016,9.800.000,9.800.000
383,KLB,Ngân hàng Thương mại cổ phần Kiên Long,29/6/2017,365.281.878,361.481.878
384,KLM,CTCP Kim loại màu Nghệ Tĩnh,30/12/2019,3.885.000,3.885.000
385,KSH,CTCP Damac GLS,19/9/2019,57.509.675,57.509.675
386,KTC,CTCP Thương mại Kiên Giang,22/6/2018,36.473.833,36.473.833
387,KTL,CTCP Kim khí Thăng Long,14/1/2015,6.519.500,19.200.000
388,KVC,CTCP Sản xuất Xuất nhập khẩu Inox Kim Vĩ,25/5/2023,49.500.000,49.500.000
389,L12,CTCP Licogi 12,3/1/2017,7.000.000,6.738.871
390,L35,Công ty Cổ phần Cơ khí lắp máy Lilama,31/5/2023,3.265.155,3.265.155
391,L44,CTCP Lilama 45.4,8/6/2018,4.000.000,3.980.000
392,L45,CTCP Lilama 45.1,20/10/2016,4.800.000,4.800.000
393,L63,Công ty Cổ phần Lilama 69-3,6/10/2016,8.279.361,8.279.361
394,LAI,CTCP Đầu tư Xây dựng Long An IDICO,10/8/2015,8.550.000,8.550.000
395,LAW,CTCP Cấp thoát nước Long An,21/12/2015,12.200.000,12.200.000
396,LBC,CTCP Thương mại - Đầu tư Long Biên,16/8/2017,1.500.000,1.500.000
397,LCC,CTCP Xi măng Hồng Phong,6/5/2010,5.838.999,5.838.999
398,LCM,CTCP Khai thác và Chế biến Khoáng sản Lào Cai,9/9/2022,24.633.000,24.632.809
399,LCS,CTCP Licogi 166,15/5/2023,7.600.000,7.600.000
400,LDW,Công Ty Cổ Phần Cấp Thoát Nước Lâm Đồng,16/3/2018,78.800.000,78.800.000
401,LG9,CTCP Cơ giới và Xây lắp số 9,18/12/2017,5.026.600,5.026.600
402,LGM,CTCP Giày da và May mặc Xuất khẩu (Legamex),18/12/2019,7.400.000,7.400.000
403,LIC,Tổng Công ty Licogi - CTCP,5/6/2017,90.000.000,90.000.000
404,LKW,CTCP Cấp nước Long Khánh,4/7/2012,2.500.000,2.500.000
405,LLM,Tổng Công ty Lắp máy Việt Nam - CTCP,16/8/2017,79.726.104,79.726.104
406,LM3,CTCP Lilama 3,1/6/2015,5.150.000,5.150.000
407,LM7,CTCP Lilama 7,31/5/2023,5.000.000,5.000.000
408,LMC,CTCP Long Beach LMC,21/9/2017,1.500.000,1.500.000
409,LMH,Công ty Cổ phần Quốc Tế Holding,29/6/2020,25.629.995,25.629.995
410,LMI,CTCP Đầu tư Xây dựng Lắp máy IDICO,20/7/2017,5.500.000,5.500.000
411,LNC,CTCP Lệ Ninh,4/7/2019,8.230.067,8.230.067
412,LO5,CTCP Lilama 5,13/5/2021,5.149.791,5.149.791
413,LPT,CTCP Thương mại và Sản xuất Lập Phương Thành,8/4/2021,12.000.000,12.000.000
414,LQN,CTCP Licogi Quảng Ngãi,1/11/2016,1.893.540,1.893.540
415,LSG,CTCP Bất động sản Sài Gòn Vi Na,12/5/2022,90.000.000,90.000.000
416,LTC,CTCP Điện nhẹ viễn thông,5/7/2019,4.586.000,4.586.000
417,LTG,CTCP Tập đoàn Lộc Trời,24/7/2017,80.593.340,80.593.340
418,M10,Tổng Công ty May 10 - Công ty cổ phần,10/1/2018,30.240.000,30.239.756
419,MA1,CTCP Thiết bị,29/6/2020,5.289.715,5.289.715
420,MBN,CTCP Môi trường và Công trình đô thị Bắc Ninh,3/10/2018,5.750.000,5.750.000
421,MCD,CTCP Môi trường và Công trình đô thị Đông Hà,20/10/2022,332.019,332.019
422,MCG,CTCP Năng lượng và Bất động sản MCG,23/5/2023,57.510.000,52.050.000
423,MCH,CTCP Hàng tiêu dùng Masan,5/1/2017,727.461.879,716.546.491
424,MCI,CTCP Đầu tư Xây dựng và Phát triển Vật liệu IDICO,8/9/2015,3.500.000,3.500.000
425,MCM,CTCP Giống bò sữa Mộc Châu,18/12/2020,110.000.000,110.000.000
426,MDA,CTCP Môi trường Đô thị Đông Anh,10/1/2018,1.200.000,1.200.000
427,MDF,CTCP GỖ MDF VRG QUẢNG TRỊ,25/2/2011,55.113.595,55.113.595
428,MEC,CTCP Cơ khí - Lắp máy Sông Đà,2/6/2020,8.353.620,8.353.620
429,MEF,Công ty cổ phần MEINFA,30/11/2011,3.940.522,4.086.077
430,MES,CTCP Cơ điện Công trình,12/12/2016,18.600.000,18.600.000
431,MFS,CTCP Dịch vụ Kỹ thuật MobiFone,16/4/2019,7.062.979,7.062.979
432,MGC,CTCP Địa chất Mỏ - TKV,9/6/2016,10.800.000,10.800.000
433,MGG,Tổng công ty Đức Giang - Công ty cổ phần,6/11/2017,8.999.622,8.999.622
434,MGR,CTCP Tập đoàn Mgroup,28/4/2022,20.000.000,20.000.000
435,MH3,CTCP Khu công nghiệp cao su Bình Long,6/3/2017,12.000.000,24.000.000
436,MIC,CTCP Kỹ nghệ khoáng sản Quảng Nam,12/1/2015,5.544.946,5.514.621
437,MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,15/12/2017,141.991.500,141.991.500
438,MKP,CTCP Hóa - Dược phẩm Mekophar,29/1/2018,25.545.867,25.268.221
439,MLC,CTCP Môi trường Đô thị tỉnh Lào Cai,23/5/2017,4.171.175,4.171.175
440,MLS,CTCP Chăn nuôi - Mitraco,15/6/2018,4.000.000,4.000.000
441,MML,CTCP Masan MeatLife,9/12/2019,327.132.940,327.132.940
442,MNB,Tổng Công ty May Nhà Bè - CTCP,24/4/2018,19.110.000,19.110.000
443,MND,CTCP Môi trường Nam Định,11/8/2017,2.194.475,2.194.475
444,MPC,CTCP Tập đoàn Thủy sản Minh Phú,16/10/2017,399.887.300,399.887.300
445,MPT,CTCP Tập đoàn MPT,2/6/2021,17.107.164,17.107.164
446,MPY,CTCP Môi trường đô thị Phú Yên,15/5/2017,6.143.000,6.143.000
447,MQB,CTCP Môi trường và Phát triển Đô thị Quảng Bình,8/11/2017,3.675.675,3.675.675
448,MQN,CTCP Môi trường đô thị Quảng Ngãi,22/6/2018,5.133.645,5.133.645
449,MRF,CTCP Merufa,12/12/2017,3.675.404,3.671.604
450,MSR,CTCP Masan High-Tech Materials,17/9/2015,1.099.155.420,1.099.155.420
451,MTA,Tổng công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP,21/10/2015,110.113.591,110.113.591
452,MTB,CTCP Môi trường và Công trình Đô thị tỉnh Thái Bình,10/12/2020,6.278.259,6.278.259
453,MTC,CTCP Dịch vụ du lịch Mỹ Trà,17/8/2012,5.200.000,1.797.975
454,MTG,CTCP MT Gas,25/6/2015,6.300.000,6.300.000
455,MTH,CTCP Môi trường đô thị Hà Đông,10/2/2011,4.787.910,4.787.910
456,MTL,CTCP Dịch vụ Môi trường Đô thị Từ Liêm,10/5/2016,6.000.000,6.000.000
457,MTP,CTCP Dược Medipharco,23/9/2010,7.455.406,7.450.806
458,MTS,CTCP Vật tư - TKV,28/4/2017,15.000.000,15.000.000
459,MTV,CTCP Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu,16/8/2017,5.400.000,5.400.000
460,MVC,CTCP Vật liệu và Xây dựng Bình Dương,22/3/2017,100.000.000,100.000.000
461,MVN,Tổng công ty Hàng hải Việt Nam - CTCP,8/10/2018,6.374.700,1.200.588.000
462,NAB,Ngân hàng TMCP Nam Á,9/10/2020,846.434.661,846.434.661
463,NAC,CTCP Tư vấn Xây dựng Tổng hợp,21/3/2017,2.835.000,2.835.000
464,NAS,CTCP Dịch vụ hàng không sân bay Nội Bài,25/1/2017,8.315.764,8.315.482
465,NAU,CTCP Môi trường và Công trình đô thị Nghệ An,29/6/2018,3.669.999,3.669.999
466,NAW,CTCP Cấp nước Nghệ An,4/8/2017,37.385.983,37.385.983
467,NBE,CTCP Sách và thiết bị Giáo dục miền Bắc,21/8/2017,5.000.000,5.000.000
468,NBT,CTCP Cấp thoát nước Bến Tre,1/6/2016,29.400.000,29.400.000
469,NCS,CTCP Suất ăn Hàng Không Nội Bài,2/12/2015,17.949.098,17.948.210
470,ND2,CTCP Đầu tư và phát triển điện miền Bắc 2,22/7/2010,49.993.960,49.993.960
471,NDC,CTCP Nam Dược,11/3/2010,5.964.000,5.964.000
472,NDF,CTCP Chế biến thực phẩm nông sản xuất khẩu Nam Định,18/11/2019,7.853.800,7.853.800
473,NDP,CTCP Dược phẩm 2-9,20/11/2015,11.100.000,11.100.000
474,NDT,Tổng CTCP Dệt May Nam Định,11/9/2018,15.639.976,15.639.976
475,NDW,CTCP Cấp nước Nam Định,11/6/2019,34.311.748,34.228.048
476,NED,CTCP Đầu tư và Phát triển Điện Tây Bắc,18/8/2017,40.500.000,40.500.000
477,NGC,CTCP Chế biến Thủy sản xuất khẩu Ngô Quyền,31/5/2021,2.299.854,2.299.854
478,NHP,CTCP Sản xuất Xuất nhập khẩu NHP,2/7/2021,27.576.490,27.576.490
479,NHV,CTCP Sức khỏe Hồi sinh Việt Nam,14/6/2017,5.480.112,5.480.112
480,NJC,CTCP May Nam Định,23/12/2020,3.000.000,3.000.000
481,NLS,Công ty Cổ phần Cấp thoát Nước Lạng Sơn,29/7/2016,5.009.800,5.009.800
482,NNG,CTCP Công nghiệp - Dịch vụ - Thương mại Ngọc Nghĩa,31/3/2015,81.570.988,81.570.988
483,NNT,CTCP Cấp nước Ninh Thuận,22/6/2012,9.490.841,9.490.841
484,NOS,Công ty cổ phần Vận Tải Biển và Thương mại Phương Đông,11/1/2011,20.056.000,19.525.932
485,NQB,CTCP Cấp nước Quảng Bình,16/7/2015,17.230.204,17.230.204
486,NQN,CTCP Nước sạch Quảng Ninh,15/6/2018,50.831.593,50.831.593
487,NQT,CTCP Nước sạch Quảng Trị,9/12/2016,18.233.269,18.233.269
488,NS2,Công ty Cổ phần Nước sạch số 2 Hà Nội,30/11/2016,56.800.000,56.800.000
489,NSG,CTCP Nhựa Sài Gòn,19/5/2016,8.639.208,8.639.208
490,NSL,CTCP Cấp nước Sơn La,22/7/2019,10.000.000,9.999.859
491,NSS,CTCP Nông Súc Sản Đồng Nai,30/10/2018,10.263.942,10.263.942
492,NTB,CTCP Đầu tư xây dựng và Khai thác Công trình giao thông 584,16/1/2014,39.779.577,39.779.577
493,NTC,CTCP Khu Công nghiệp Nam Tân Uyên,19/12/2016,23.999.980,23.999.980
494,NTF,CTCP Dược - Vật tư Y tế Nghệ An,4/7/2019,6.000.000,6.000.000
495,NTT,CTCP Dệt - May Nha Trang,27/12/2017,23.500.000,23.500.000
496,NTW,CTCP Cấp nước Nhơn Trạch,9/4/2012,10.000.000,10.000.000
497,NUE,CTCP Môi trường đô thị Nha Trang,20/2/2017,6.000.000,6.000.000
498,NVP,CTCP Nước sạch Vĩnh Phúc,15/12/2016,10.963.000,10.963.000
499,NWT,Công ty Cổ phần Vận tải Newway,30/3/2016,8.500.000,8.500.000
500,NXT,CTCP Sản xuất và Cung ứng vật liệu xây dựng Kon Tum,9/12/2021,6.600.000,6.600.000
501,ODE,CTCP Tập đoàn Truyền thông và Giải trí ODE,10/1/2022,10.000.000,10.000.000
502,OIL,Tổng Công ty Dầu Việt Nam - CTCP,7/3/2018,201.425.936,1.034.229.500
503,ONW,CTCP Dịch vụ Một thế giới,17/2/2017,2.000.000,2.000.000
504,PAI,"CTCP Công nghệ thông tin, Viễn thông và Tự động hóa dầu khí",23/1/2017,4.235.290,4.235.290
505,PAP,CTCP Dầu khí Đầu tư Khai thác Cảng Phước An,14/7/2021,200.000.000,200.000.000
506,PAS,CTCP Quốc tế Phương Anh,21/9/2020,28.049.968,28.049.968
507,PAT,CTCP Phốt pho Apatit Việt Nam,17/6/2022,25.000.000,25.000.000
508,PBC,CTCP Dược phẩm Trung ương I - Pharbaco,26/11/2019,113.299.902,113.299.902
509,PBT,CTCP Nhà và Thương mại Dầu khí,18/1/2019,17.522.284,17.522.284
510,PCC,CTCP Tập đoàn Xây lắp 1 - Petrolimex,14/11/2017,11.500.000,11.500.000
511,PCF,CTCP Cà phê Petec,29/3/2017,3.000.000,3.000.000
512,PCM,CTCP Vật liệu Xây dựng Bưu Điện,10/8/2017,4.000.000,3.920.000
513,PCN,CTCP Hóa phẩm dầu khí DMC - Miền Bắc,31/5/2019,3.924.550,3.924.550
514,PDC,CTCP Du lịch Dầu khí Phương Đông,8/8/2022,15.000.000,15.000.000
515,PDV,CTCP Vận tải và Tiếp vận Phương Đông Việt,20/4/2017,25.109.986,31.109.986
516,PEC,CTCP Cơ khí Điện lực,6/10/2010,3.115.409,3.115.409
517,PEG,Tổng công ty Thương mại Kỹ thuật và Đầu tư -Công ty cổ phần,5/11/2018,231.898.919,231.898.919
518,PEQ,CTCP Thiết bị Xăng dầu Petrolimex,18/1/2016,4.965.514,4.965.514
519,PFL,Công ty cổ phần Dầu khí Đông Đô,25/5/2015,50.000.000,50.000.000
520,PGB,Ngân hàng TMCP Xăng dầu Petrolimex,24/12/2020,300.000.000,300.000.000
521,PHH,CTCP Hồng Hà Việt Nam,31/8/2015,20.000.000,18.100.000
522,PHP,CTCP Cảng Hải Phòng,14/9/2022,326.960.000,326.960.000
523,PHS,CTCP Chứng khoán Phú Hưng,4/6/2020,150.009.819,150.009.329
524,PID,CTCP Trang trí nội thất Dầu Khí,31/7/2015,4.000.000,4.000.000
525,PIS,Tổng công ty Pisico Bình Định - CTCP,12/1/2016,27.500.000,27.500.000
526,PIV,CTCP PIV,7/9/2018,17.324.942,17.324.942
527,PJS,CTCP Cấp nước Phú Hòa Tân,5/12/2011,9.000.000,9.000.000
528,PLA,CTCP Đầu tư và Dịch vụ hạ tầng Xăng dầu,20/11/2017,10.000.000,10.000.000
529,PLE,CTCP Tư vấn Xây dựng Petrolimex,7/1/2021,1.215.000,1.215.000
530,PLO,CTCP Kho vận Petec,10/4/2020,7.192.550,7.192.550
531,PMJ,CTCP Vật tư Bưu điện,29/6/2016,1.800.000,1.800.000
532,PMT,CTCP Viễn thông Telvina Việt Nam,22/7/2010,5.000.000,4.940.000
533,PMW,CTCP Cấp nước Phú Mỹ,17/7/2019,46.999.832,49.999.832
534,PND,CTCP Xăng dầu Dầu khí Nam Định,20/2/2017,6.666.666,6.666.666
535,PNG,Công ty Cổ phần Thương mại Phú Nhuận,5/4/2016,9.000.000,9.000.000
536,PNP,CTCP Tân Cảng - Phú Hữu,17/5/2019,16.100.000,16.100.000
537,PNT,CTCP Kỹ thuật Xây dựng Phú Nhuận,12/1/2017,9.282.802,9.282.272
538,POB,CTCP Xăng dầu Dầu khí Thái Bình,29/9/2017,10.900.000,10.900.000
539,POS,"CTCP Dịch vụ Lắp đặt, Vận hành và Bảo dưỡng Công trình Dầu khí biển PTSC",25/11/2016,40.000.000,40.000.000
540,POV,CTCP Xăng dầu Dầu khí Vũng Áng,23/9/2010,12.499.612,12.499.612
541,PPH,Tổng công ty cổ phần Phong Phú,23/8/2017,74.670.891,74.670.891
542,PPI,CTCP Đầu tư và Phát triển Dự án Hạ tầng Thái Bình Dương,27/5/2019,48.290.629,48.290.629
543,PQN,CTCP Dịch vụ Dầu khí Quảng Ngãi PTSC,4/10/2019,30.000.000,30.000.000
544,PRO,CTCP Procimex Việt Nam,10/10/2014,3.000.000,3.000.000
545,PRT,Tổng công ty Sản xuất - Xuất nhập khẩu Bình Dương- CTCP,7/5/2018,300.000.000,300.000.000
546,PSB,CTCP Đầu tư Dầu khí Sao Mai – Bến Đình,25/2/2010,50.000.000,50.000.000
547,PSG,CTCP Đầu tư và Xây lắp Dầu khí Sài Gòn,15/9/2015,35.000.000,35.000.000
548,PSL,CTCP Chăn nuôi Phú Sơn,17/5/2010,11.812.500,11.812.500
549,PSN,CTCP Dịch vụ Kỹ thuật PTSC Thanh Hóa,29/6/2017,40.000.000,40.000.000
550,PSP,CTCP Cảng dịch vụ Dầu khí Đình Vũ,10/11/2009,40.000.000,40.000.000
551,PTE,Công ty Cổ phần Xi măng Phú Thọ,12/8/2015,12.500.000,12.130.776
552,PTG,CTCP May Xuất Khẩu Phan Thiết,4/1/2010,4.864.385,4.996.185
553,PTH,CTCP Vận tải và Dịch vụ Petrolimex Hà Tây,23/3/2010,3.503.164,3.503.164
554,PTN,CTCP Phát triển Nhà Khánh Hòa,14/10/2022,5.801.924,5.801.924
555,PTO,CTCP Dịch vụ- Xây dựng Công trình Bưu điện,20/6/2017,1.200.000,1.200.000
556,PTP,CTCP Dịch vụ viễn thông và In bưu điện,10/12/2009,6.800.000,6.671.367
557,PTT,CTCP Vận tải dầu khí Đông Dương,29/4/2010,10.000.000,10.000.000
558,PTV,CTCP Thương mại Dầu khí,5/11/2019,20.000.000,20.000.000
559,PTX,CTCP Vận tải và dịch vụ Petrolimex Nghệ Tĩnh,30/7/2018,5.847.685,5.847.685
560,PVA,CTCP Tổng Công ty Xây lắp Dầu khí Nghệ An,1/10/2014,21.846.000,21.846.000
561,PVE,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,4/6/2020,25.000.000,25.000.000
562,PVH,CTCP Xây lắp Dầu khí Thanh Hóa,19/5/2017,21.000.000,21.000.000
563,PVL,CTCP Đầu tư Nhà đất Việt,25/4/2023,50.000.000,50.000.000
564,PVM,CTCP Máy - Thiết bị Dầu khí,20/12/2016,38.638.600,38.638.600
565,PVO,CTCP Dầu nhờn PV Oil,12/1/2016,8.900.000,8.900.000
566,PVR,CTCP Đầu tư PVR Hà Nội,2/6/2017,53.100.913,51.906.713
567,PVV,Công ty cổ phần Vinaconex 39,3/6/2019,30.000.000,30.000.000
568,PVX,Tổng CTCP Xây lắp Dầu khí Việt Nam,17/6/2020,400.000.000,399.997.029
569,PVY,CTCP Chế tạo Giàn khoan Dầu khí,29/12/2017,59.489.787,59.489.787
570,PWA,CTCP Bất động sản Dầu khí,11/6/2019,10.000.000,10.000.000
571,PWS,CTCP Cấp thoát nước Phú Yên,30/6/2017,38.398.179,38.363.579
572,PX1,CTCP Xi Măng Sông Lam 2,1/12/2010,20.000.000,20.000.000
573,PXA,CTCP Đầu tư và Thương mại Dầu khí Nghệ An,13/6/2018,15.000.000,15.000.000
574,PXC,Công ty Cổ phần Phát triển Đô thị Dầu khí,9/2/2017,28.068.900,28.068.900
575,PXI,CTCP Xây dựng Công nghiệp và Dân dụng Dầu khí,19/5/2022,30.000.000,30.000.000
576,PXL,CTCP Đầu tư Khu Công nghiệp Dầu khí Long Sơn,23/5/2016,82.722.212,82.574.412
577,PXM,CTCP Xây lắp Dầu khí Miền Trung,1/7/2014,15.000.000,15.000.000
578,PXS,CTCP Kết cấu Kim loại và Lắp máy Dầu khí,8/7/2022,60.000.000,60.000.000
579,PXT,CTCP Xây lắp Đường ống Bể chứa Dầu khí,9/6/2021,20.000.000,20.000.000
580,QCC,CTCP Đầu tư Xây dựng và Phát triển Hạ tầng Viễn thông,6/6/2014,1.500.000,1.329.700
581,QHW,CTCP Nước khoáng Quảng Ninh,22/12/2016,8.000.000,7.979.400
582,QNC,CTCP Xi măng và Xây dựng Quảng Ninh,6/10/2020,60.000.000,59.932.000
583,QNS,CTCP Đường Quảng Ngãi,20/12/2016,356.939.955,356.939.955
584,QNT,CTCP Tư vấn và Đầu tư phát triển Quảng Nam,9/1/2020,3.222.000,3.222.000
585,QNU,CTCP Môi trường đô thị Quảng Nam,28/2/2017,6.800.000,6.800.000
586,QNW,CTCP Cấp thoát nước và Xây dựng Quảng Ngãi,26/12/2016,20.000.000,20.000.000
587,QPH,CTCP Thủy điện Quế Phong,11/7/2014,18.583.100,18.583.100
588,QSP,CTCP Tân Cảng Quy Nhơn,23/9/2016,10.792.275,10.792.275
589,QTP,CTCP Nhiệt điện Quảng Ninh,16/3/2017,450.000.000,450.000.000
590,RAT,CTCP Vận tải và Thương mại Đường sắt,15/8/2016,5.921.841,5.921.841
591,RBC,CTCP Công nghiệp và Xuất nhập khẩu Cao su,18/2/2016,10.030.308,9.903.708
592,RCC,CTCP Tổng công ty Công trình đường sắt,2/12/2016,32.064.749,32.064.749
593,RCD,CTCP Xây dựng - Địa ốc Cao su,6/2/2015,5.300.062,4.849.832
594,RGC,CTCP Đầu tư PV- Inconess,19/6/2017,89.123.600,89.123.600
595,RIC,Công ty cổ phần Quốc tế Hoàng Gia,26/5/2022,28.708.169,28.708.169
596,RTB,CTCP Cao su Tân Biên,7/11/2016,87.945.000,87.945.000
597,S12,CTCP Sông Đà 12,26/5/2016,5.000.000,5.000.000
598,S27,Công ty Cổ phần Sông Đà 27,27/11/2014,1.572.833,1.572.833
599,S72,CTCP Sông Đà 7.02,22/5/2018,12.000.000,12.000.000
600,S74,Công ty cổ phần Sông Đà 7.04,11/6/2021,6.480.000,6.480.000
601,S96,Công ty Cổ Phần Sông Đà 9.06,21/8/2014,11.155.532,11.155.532
602,SAC,CTCP Xếp dỡ và Dịch vụ Cảng Sài Gòn,8/11/2016,4.050.000,3.950.900
603,SAL,CTCP Trục vớt cứu hộ Việt Nam,20/10/2017,8.310.000,8.310.000
604,SAP,Công Ty Cổ phần In Sách giáo khoa Tp. HCM,7/5/2018,1.286.984,1.286.984
605,SAS,CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất,16/4/2015,133.481.310,133.451.910
606,SB1,CTCP Bia Sài Gòn- Nghệ Tĩnh,26/12/2016,10.500.000,10.500.000
607,SBD,CTCP Công nghệ Sao Bắc Đẩu,16/2/2017,13.514.680,13.514.680
608,SBH,CTCP Thủy điện Sông Ba Hạ,7/6/2018,124.225.000,124.225.000
609,SBL,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,23/1/2017,12.012.000,12.012.000
610,SBM,CTCP Đầu tư Phát triển Bắc Minh,21/9/2017,45.044.953,45.044.953
611,SBR,CTCP Cao su Sông Bé,2/11/2020,81.396.192,81.396.192
